Source workbook row,Economy,Sector,Stated milestone,Legacy comparison excerpt (not used for coding),Policy status,Policy source,Source access date,Comparability class,Selected 2030 reference,Benchmark source,Assessment rule applied,Directional alignment,Coding provenance
5,EU,Power,"REPowerEU/Commission target: ~69% renewable electricity by 2030. Member states' actual NECP plans collectively add up to ~66% renewable electricity (Ember), i.e","Partially 1.5C-aligned on renewables, but ~2C overall because coal+gas phase-out lags the IEA NZE benchmark. IEA NZE (1.5C) benchmark for power: ~60% renewables in GLOBAL electricity by 2030, unabated",Legally binding instrument,https://energy.ec.europa.eu/topics/renewable-energy/renewable-energy-directive-targets-and-rules/renewable-energy-targets_en,2026-08-03,Direct principal metric,">60% of global electricity from renewables by 2030; advanced-economy power reaches net zero by 2035. Used as a directional global reference, not a national burden-sharing allocation.","IEA, Net Zero Roadmap (2023): https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
6,Japan,Power,"Binding FY2030 electricity mix (6th SEP, unchanged): 36-38% renewables (solar 14-16%, hydro ~11%, wind ~5%, biomass ~5%, geothermal ~1%), 20-22% nuclear, ~41% f","Weaker than 2C, NOT aligned with 1.5C. Against the IEA Net Zero (1.5C) power benchmark — renewables ~60% of generation by 2030, advanced-economy power sector fully decarbonized by 2035, unabated coal ",Government-adopted plan or target,https://www.env.go.jp/en/earth/cc/2030indc.html,2026-08-03,Direct principal metric,">60% of global electricity from renewables by 2030; advanced-economy power reaches net zero by 2035. Used as a directional global reference, not a national burden-sharing allocation.","IEA, Net Zero Roadmap (2023): https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
9,India,Steel,"Capacity 300 MT / production ~255 MT by 2030-31 (up from ~151 MT crude steel in FY25). On emissions, India aspires to cut average CO2 intensity only from ~2.55 ",Weaker than 2C; not aligned with 1.5C. IEA Net Zero by 2050 (1.5C) requires global steel Scope-1 emissions to fall 29% in absolute terms by 2030 and average intensity to drop to about 0.92 t-CO2/t by ,Industry-led or voluntary roadmap,https://www.steel.gov.in/national-steel-policy-nsp-2017,2026-08-03,Direct principal metric,"About 29% lower direct CO2 than 2019, about 25% lower emissions intensity, and >8% near-zero-emission primary production.","IEA, Steel: https://www.iea.org/energy-system/industry/steel","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
11,Japan,Steel,"Sector goal of roughly 30% CO2 reduction by 2030 vs a 2013 baseline (the industry/COURSE50 target, consistent with Japan's 46% national NDC), plus the GX target","Not 1.5C aligned. The 2050 carbon-neutral headline is nominally 1.5C-shaped, but the 2030 delivery is roughly 2C-or-weaker. On the IEA NZE (1.5C) steel benchmark, emissions intensity must fall ~25-29%",Industry-led or voluntary roadmap,https://www.env.go.jp/en/earth/cc/2030indc.html,2026-08-03,Direct principal metric,"About 29% lower direct CO2 than 2019, about 25% lower emissions intensity, and >8% near-zero-emission primary production.","IEA, Steel: https://www.iea.org/energy-system/industry/steel","At least one comparable component moves toward the reference, but magnitude, coverage or implementation status prevents a full match.",Mixed/partial relative to selected reference,Rule-based single-coder screen; released for independent re-coding.
12,S. Korea,Steel,"A single 300,000 t/yr HyREX hydrogen-reduction demonstration plant in Pohang targeted to operate by ~2030 (a commercialization go/no-go milestone, only ~0.4% of","Weaker than 1.5C. IEA Net Zero by 2050 (1.5C) requires steel CO2 to fall roughly 25-29% by 2030, with near-zero-emission primary production (H2-DRI + CCUS) reaching >8% of output and the blast-furnace",Government-adopted plan or target,https://www.mofa.go.kr/www/brd/m_4080/view.do?seq=371618,2026-08-03,Direct principal metric,"About 29% lower direct CO2 than 2019, about 25% lower emissions intensity, and >8% near-zero-emission primary production.","IEA, Steel: https://www.iea.org/energy-system/industry/steel",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
15,India,Cement,Average cement CO2 intensity projected to fall to ~560 kg CO2/t cement by 2030 (from ~600-700 kg/t today); clinker factor reduced from 67.5% to 62%; ~20% therma,"Weaker than 1.5C / IEA NZE. IEA NZE (1.5C) benchmark for cement requires ~4%/yr intensity decline to roughly 0.46-0.50 tCO2/t by 2030 and sector net-zero by ~2050, with clinker-to-cement ratio falling",Industry-led or voluntary roadmap,https://niti.gov.in/whats-new/roadmap-cement-sector-decarbonaisation,2026-08-03,Direct principal metric,"About 20% lower direct CO2, roughly 4% annual decline in emissions intensity, and a global clinker-to-cement ratio near 0.65.","IEA, Cement: https://www.iea.org/energy-system/industry/cement",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
21,China,Road transport,Plan-as-written 2030 milestone: ~40% NEV share of light-duty new-vehicle sales by 2030 (Roadmap 2.0; heavy-duty ~17% by 2030). Nearer-term binding lever is the ,SPLIT VERDICT - depends whether you grade the written plan or the actual rollout. (1) Plan-as-written: WEAKER than 1.5C. IEA Net Zero by 2050 (1.5C) needs EVs to be >60% of light-duty sales by 2030 an,Industry-led or voluntary roadmap,https://en.ndrc.gov.cn/policies/202110/t20211027_1301020.html,2026-08-03,Direct principal metric,"Electric vehicles exceed 60% of light-duty vehicle sales by 2030, on the way to ending new internal-combustion light-vehicle sales by 2035.","IEA, Global EV Outlook 2024: https://www.iea.org/reports/global-ev-outlook-2024",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
23,India,Road transport,2030 target: 30% EV share of new sales overall (30% private cars / 70% commercial cars / 40% buses / 80% two- and three-wheelers). PM E-DRIVE 2024-28 underpins ,"NOT 1.5C-aligned; ~2C at the optimistic end on paper, trending weaker in practice. The IEA Net Zero by 2050 (1.5C) road benchmark is EVs >60% of car/LDV sales by 2030 and ~100% by 2035; the CAT 1.5C l",Government-adopted plan or target,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1941114,2026-08-03,Direct principal metric,"Electric vehicles exceed 60% of light-duty vehicle sales by 2030, on the way to ending new internal-combustion light-vehicle sales by 2035.","IEA, Global EV Outlook 2024: https://www.iea.org/reports/global-ev-outlook-2024",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
27,EU,Aviation,"2030: 6% SAF blending mandate at all EU airports (binding on fuel suppliers), of which a 1.2% synthetic e-fuel (RFNBO/PtL) sub-mandate is carved out. In paralle","Weaker than 1.5C on the decarbonization lever, partially ~2C for the covered scope. The 6% 2030 SAF mandate is only roughly half to two-thirds of the IEA Net Zero by 2050 (1.5C) benchmark of SAF >10% ",Legally binding instrument,https://transport.ec.europa.eu/transport-modes/air/environment/refueleu-aviation_en,2026-08-03,Direct principal metric,"Sustainable aviation fuel exceeds 10% of jet-fuel use by 2030, with sector CO2 held below about 1 Gt.","IEA, Aviation: https://www.iea.org/energy-system/transport/aviation",Principal comparable 2030 indicator is materially below the selected reference.,Below selected reference,Rule-based single-coder screen; released for independent re-coding.
33,EU,Buildings,All new buildings Zero-Emission (no on-site fossil emissions) from 1 January 2030; residential average primary energy use minus 16% versus 2020; worst 16% of no,"Mixed: ambitious by design, off-track in delivery. On NEW buildings the EU plan is broadly 1.5C-aligned and meets the IEA Net Zero by 2050 benchmark, which calls for zero-carbon-ready energy codes for",Legally binding instrument,https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficient-buildings/energy-performance-buildings-directive_en,2026-08-03,Direct principal metric,"All new buildings are zero-carbon-ready by 2030, alongside faster retrofit and electrification of heat.","IEA, Buildings: https://www.iea.org/energy-system/buildings","Principal comparable indicator meets, exceeds or lies within about 20% of the selected reference.",At/approximately above selected reference,Rule-based single-coder screen; released for independent re-coding.
