Source workbook row,Economy,Sector,Stated milestone,Legacy comparison excerpt (not used for coding),Exclusion reason
2,China,Power,"2030: wind+solar >1200 GW (already met end-2024, ~6 years early; reached ~1.7 TW by mid-2025), non-fossil 25% of primary energy, carbon intensity -65% vs 2005. ",NOT aligned with 1.5C. Against the IEA Net Zero by 2050 power benchmark (60% renewables in global generation by 2030; net-zero electricity in advanced economies by 2035 and all economies by 2040; unab,Capacity and primary-energy metrics are not directly comparable with the generation-share benchmark.
3,USA,Power,Two divergent trajectories. (a) Biden/IRA path (now defunct): power-sector CO2 roughly 50% below 2005 by 2030 and ~66% clean electricity by 2030 (vs ~80% needed,Split verdict. The on-paper 2035 carbon-free electricity goal was 1.5C-aligned: it matched the IEA Net Zero by 2050 benchmark that advanced economies decarbonize their power systems (net-zero electric,Former federal trajectory; no current comparable national milestone.
4,India,Power,"500 GW non-fossil installed capacity by 2030 (target). Reality as of 2026: India crossed the 50% non-fossil installed-capacity milestone in June 2025, ~5 years ","Weaker than 2C. The capacity target is being met/exceeded, but capacity is not generation. The IEA Net Zero by 2050 (1.5C) power-sector benchmark requires renewables to reach >60% of global electricit",Installed-capacity share is not directly comparable with the generation-share benchmark.
7,China,Steel,"By 2030: electric-arc-furnace (EAF/scrap-based) steel to reach 20% of crude steel output (rising to 30% by 2035), up from roughly 10-11% in 2024-2025; sector CO",Weaker than 2C - NOT aligned with 1.5C or 2C. IEA Net Zero by 2050 (1.5C) requires global steel-sector CO2 to fall ~29% by 2030 vs 2019 (≈85% of that from already-mature measures: energy/material effi,"Metric, scope, target year or policy status is not sufficiently comparable."
8,USA,Steel,"No binding sector-wide 2030 emissions number exists. The de facto near-term milestone was the IDP demo portfolio: 5 iron/steel projects, up to ~$1.0B federal sh",Weaker than 2C; NOT aligned with the IEA Net Zero (1.5C) steel benchmark. The IEA NZE requires steel direct CO2 emissions/intensity to fall ~25-29% by 2030 (~3%/yr) with ~8% of primary production near,"Metric, scope, target year or policy status is not sufficiently comparable."
10,EU,Steel,2026-2030 milestones: (1) ETS free allocation for steel begins phasing out in 2026 (-10%/yr to 2034) as CBAM enters its definitive period (full importer obligat,"PARTIALLY ALIGNED, drifting weaker. On paper the EU framework is among the world's most ambitious (-55% by 2030, -90% net by 2040, net-zero 2050), and the ETS+CBAM price signal is in principle compati",Cross-sector ETS cap is not a steel-specific 2030 milestone.
13,China,Cement,"The plan is front-loaded on 2025/2028 milestones and weak on quantified 2030 numbers. Hard targets: by end-2025, >=30% of clinker capacity at/above the energy-e","Weaker than 2C; not aligned with 1.5C. IEA NZE (1.5C) requires global cement direct CO2 to fall ~3%/yr and CO2 intensity ~4%/yr to 2030, with the clinker-to-cement ratio dropping to ~0.65 by 2030. Chi","Metric, scope, target year or policy status is not sufficiently comparable."
14,USA,Cement,"Weak/absent. The PCA roadmap sets NO binding quantified 2030 cement-CO2 target; its 2030/2040 milestones are directional, and the only hard numbers are 2050 (cl","Weaker than ~2C in practice. On paper the 2050 carbon-neutral aspiration is nominally net-zero-consistent, but it is a voluntary industry roadmap with no binding 2030 milestone and no carbon price, an","Metric, scope, target year or policy status is not sufficiently comparable."
16,EU,Cement,"EU ETS cap cut 4.3%/yr (2024-27) then 4.4%/yr (2028-30), driving ETS-covered sectors to -62% vs 2005 by 2030; free allocation for cement starts phasing out in 2","Weaker than 1.5C at the sector level despite a net-zero-2050 headline; closer to ~2C in delivery. The IEA Net Zero by 2050 (1.5C) cement benchmark requires ~4%/yr CO2-intensity decline to 2030, a clin",Cross-sector ETS cap is not a cement-specific intensity milestone.
17,China,Chemicals,"Mostly 2025-dated, not 2030. By 2025: crude primary-processing capacity held under 1 billion t/yr with >80% utilization; new integrated refineries must keep ref","Weaker than 2C — not aligned with 1.5C or ~2C. IEA NZE (1.5C) benchmark requires primary-chemicals direct CO2 to FALL ~18% by 2030 vs 2022 (despite production growth), with emissions intensity down ~1","No chemicals-specific milestone sufficiently comparable in year, scope and metric."
18,USA,Chemicals,"None. There is no quantified 2030 chemicals milestone in any US federal plan. The 2022 DOE roadmap is scenario/modeling-based, not target-based, and sets no 203",Weaker than 2C. The US chemicals/industrial effort is not aligned with the IEA NZE 1.5C chemicals benchmark (~18% CO2 cut by 2030). The 2022 roadmap was nominally net-zero-by-2050 (2C-to-1.5C aspirati,"No chemicals-specific milestone sufficiently comparable in year, scope and metric."
19,EU,Chemicals,No chemicals-specific 2030 number. The binding cross-sectoral milestone is the EU ETS cap: -62% vs 2005 by 2030 for all covered sectors (incl. chemicals combust,Mixed/headline-vs-delivery gap. Headline ambition (legally binding 2050 climate neutrality; ETS cap heading to net-zero) is nominally 1.5C-oriented. But for chemicals specifically there is no quantifi,Cross-sector ETS cap is not a chemicals-specific milestone.
20,S. Korea,Chemicals,No petrochemical-specific 2030 number in official policy. The whole industry sector is targeted to cut only -14.5% from 2018 by 2030 (the weakest of any major s,Weaker than 1.5C and weaker than ~2C at the sector level. The IEA NZE (1.5C) primary-chemicals benchmark needs ~18% absolute CO2 cut by 2030 vs 2022 (intensity down ~28%) despite rising output; Korea',Whole-industry target is not a chemicals-specific milestone.
22,USA,Road transport,No federal EV-sales target remains for 2030. The former 50%-ZEV-by-2030 goal and the MY2027-32 tailpipe rule (which implied ~56% BEV sales by 2032) are being re,"Weaker than ~2C, and far from 1.5C. The IEA Net Zero by 2050 (1.5C) benchmark requires EVs to exceed ~60% of global car sales by 2030. The US has rescinded its only EV-sales target and its tailpipe GH",Former federal target was rescinded; no current comparable national milestone.
24,EU,Road transport,Legally binding 2030-2034 targets vs a 2021 baseline: -55% fleet-average CO2 for new passenger cars and -50% for new vans (preceded by an interim -15% from 2025,"Borderline, and weakening. Endpoint: the legislated 2035 100% target (full ICE phase-out for new cars) sits at the edge of 1.5C compatibility per the Climate Action Tracker 1.5C benchmark of 97-100% E",New-vehicle fleet-average CO2 standards are not directly comparable with the EV-sales or whole-road-sector benchmark.
25,China,Aviation,No binding national 2030 decarbonization target exists for the sector — a barely-existing 2030 plan. The only firm near-term numbers are 2025 targets: cumulativ,"Weaker than 2C / not Paris-aligned at sector level. IEA NZE (1.5C) benchmark for aviation: SAF >10% of fuel by 2030 and global direct aviation CO2 held below ~1,000 Mt by 2030, falling ~90% below 2019","Metric, scope, target year or policy status is not sufficiently comparable."
26,USA,Aviation,"3 billion gallons/yr of domestic SAF by 2030 (scaling to 35 bn gal/yr = ~100% of projected domestic jet demand by 2050), each gallon achieving >=50% lifecycle G","Split verdict. ON PAPER the 2030 goal (~11% SAF, >=50% lifecycle cut) is roughly consistent with the IEA Net Zero by 2050 (1.5C) aviation benchmark of >10% SAF share by 2030 -> nominally C1-C2 ambitio","Metric, scope, target year or policy status is not sufficiently comparable."
28,China,Shipping,No 2030 GHG-reduction figure for Chinese shipping emissions. Quantified 2030-relevant numbers are industrial/supply-side: China held 78.5% of global green-power,"Weaker than 2C; not aligned with 1.5C. IEA NZE (1.5C) sector benchmark requires ~15% shipping CO2 cut 2022-2030 and ~15% of energy from low/near-zero fuels by 2030 (ammonia ~6%, biofuels ~8%, hydrogen","Metric, scope, target year or policy status is not sufficiently comparable."
29,EU,Shipping,"FuelEU Maritime: GHG intensity of energy used onboard must fall -6% by 2030 vs 2020 (then -14.5% 2035, -31% 2040, -62% 2045, -80% 2050). EU ETS: 100% of verifie",Weaker than 1.5C; roughly ~2C at best. IEA Net Zero by 2050 (1.5C) benchmark for international shipping requires ~15% absolute emissions reduction 2022->2030 and low/zero-emission fuels rising from <1,Onboard-fuel GHG-intensity target is not directly comparable with the absolute-emissions benchmark.
30,S. Korea,Shipping,"By 2030: 60% GHG cut vs 2008 baseline (~4 Mt CO2e annual reduction, plus 3,314 t particulate matter). Fleet: the 2020 Greenship-K 2030 strategy targets converti","Aspirational headline (net zero 2050; 60% by 2030 vs 2008) is nominally strong and reaches toward 1.5C, exceeding the IMO 2023 striving levels and roughly matching the IEA NZE international-shipping b",Fleet-conversion and technology-performance milestones are not an absolute sector-emissions target comparable with the selected shipping reference.
31,China,Buildings,By 2030: buildings-sector emissions peak (still rising through the 2020s); prefabricated construction = 40% of new urban building floor area; 80% of urban publi,"Weaker than 2C-for-sector, and far weaker than the IEA Net Zero by 2050 (1.5C) buildings benchmark. IEA NZE requires 100% of new buildings to be zero-carbon-ready via mandatory codes by 2030 (only ~5%",Peak-year and prefabricated-construction indicators are not directly comparable with the zero-carbon-ready new-buildings reference.
