File Name,DOI,raw_year,normalized_year,temporal_eligible,basis,source
"Agyekum 等 - 2025 - Future changes in extreme precipitation events over the Volta basin under medium and high emission s.pdf",10.1007/s00382-025-07957-5,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Allen 等 - 2024 - An analytical framework for assessing climate transition risks an application to France.pdf",10.1007/s10290-024-00540-w,2026,2024,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Anselmo 等 - 2025 - Where and how to conserve butterflies amid climate change a model-based approach on Papilio alex.pdf",10.1007/s10531-025-03170-2,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Benoit 等 - 2025 - Harvest-induced changes in forest landscapes does not fully compensate for climate-induced increase.pdf",10.1007/s10980-025-02230-w,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Correia 等 - 2026 - Respective impacts of global warming, permafrost thaw and urban sprawl on debris-flow risk Insights.pdf",10.1016/j.geomorph.2025.110086,2026,2026,no,no verified 2000-2025 online date,Crossref DOI metadata checked 2026-07-31
"Fotso-nguemo 等 - 2025 - Severity of Compound Precipitation and Temperature Extreme Events Over Africa at 1.5°C and 2°C Globa.pdf",10.1002/joc.70215,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Garcia-Martinez和Lira-Noriega - 2025 - Potential distribution and susceptibility of Coffea arabica L. to climate change impacts.pdf",10.1002/ppp3.70132,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Heffernan - 2026 - A call for wildlife conservation policy evolution climate change and community-based natural resour.pdf",10.1080/17565529.2025.2491540,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Hosseinzadehtalaei 等 - 2026 - Future precipitation whiplash over Belgium from a high-resolution regional climate model.pdf",10.1088/2752-5295/ae1bc5,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Laborda 等 - 2026 - Unveiling how financial markets could intensify climate change risks.pdf",10.1016/j.ecolecon.2025.108773,2026,2026,no,no verified 2000-2025 online date,Crossref DOI metadata checked 2026-07-31
"Liu 等 - 2025 - Global warming intensifies extreme day-to-day temperature changes in mid-low latitudes.pdf",10.1038/s41558-025-02486-9,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Manucharyan 等 - 2025 - Assessing the Impact of Climate Change on the Habitat of the Common Vole, an Important Host of Tular.pdf",10.1177/15303667251389711,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Oggioni 等 - 2026 - Simulating silver fir provenance responses to climate change A forest modelling approach in the Nor.pdf",10.1016/j.fecs.2025.100389,2026,2026,no,no verified 2000-2025 online date,Crossref DOI metadata checked 2026-07-31
"Pompeu 等 - 2026 - Most South American cloud forests are likely to disappear under high-end climate change.pdf",10.1016/j.jnc.2025.127192,2026,2026,no,no verified 2000-2025 online date,Crossref DOI metadata checked 2026-07-31
"Shrestha 等 - 2025 - Climate change refugia in Canadian prairies assessing range shifts and identifying breeding habitat.pdf",10.1007/s10661-025-14784-y,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Song 等 - 2025 - Integration of critical and accumulated temperatures to assess the impacts of climate change and res.pdf",10.1007/s40974-025-00375-7,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Strieder 等 - 2025 - Landslide risk Assessment for highways under Climate change a Brazilian case study.pdf",10.1080/14488353.2025.2545735,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Tadiello 等 - 2026 - Regenerative practices reduce global warming impact and intensity of maize systems in north-central.pdf",10.1016/j.agsy.2025.104587,2026,2026,no,no verified 2000-2025 online date,Crossref DOI metadata checked 2026-07-31
"Tanaka和Sawada - 2025 - Combined effects of climate change and interannual climate variability on the overturning circulatio.pdf",10.1007/s10872-025-00779-3,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Zhang 等 - 2025 - An Integrated Machine Learning and Remote Sensing Method for Predicting Cyanobacterial Blooms A Cas.pdf",10.1007/s00267-025-02303-1,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Zhang 等 - 2025 - Geography of Climate Change Adaptation in US Agriculture.pdf",https://doi.org/10.1111/jors.70014,2026,2025,yes,first-online year,Crossref DOI metadata checked 2026-07-31
"Zizinga 等 - 2026 - Straw mulching enhances rainfed maize yield under climate change scenarios.pdf",10.1016/j.eja.2025.127827,2026,2026,no,no verified 2000-2025 online date,Crossref DOI metadata checked 2026-07-31
"Helbig 等 - 2017 - Direct and indirect climate change effects on carbon dioxide fluxes in a thawing boreal forest-wetla.pdf",10.1111/gcb.13638,in press,2017,yes,first-online year,Crossref DOI metadata checked 2026-07-31
