AR6 Category,count
C5,2885
C8,1655
C3,1071
C8 (RCP equivalent),1049
C7,829
C5 (RCP equivalent),808
C1,720
C4,710
SSP5-8.5,594
C6,456
C3 (RCP equivalent),385
SSP2-4.5,226
C7: limit warming to 4°C (>50%),206
C6 (RCP equivalent),155
C2,144
C1 (RCP equivalent),142
C8 (SSP5-8.5),139
C8 (High GHG emissions),116
C3 (Below 3°C),109
C3 (Below 2°C),104
C3: limit warming to 2°C (>67%),101
C5: limit warming to 2.5°C (>50%),99
RCP8.5,89
C8 (>4°C),80
SSP1-2.6,80
C4 (RCP equivalent),76
RCP4.5,58
C2: return warming to 1.5°C (>50%) after a high overshoot,53
C8 (SSP5-8.5 equivalent),38
High GHG emissions,37
C7 (High),35
C4: limit warming to 2°C (>50%),32
SSP3-7.0,32
High (SSP5-8.5),31
High GHG emissions (SSP5-8.5),29
C1 (SSP1-2.6 equivalent),28
C1 (Low GHG emissions),28
C4 (2°C),28
C8/>4°C,27
Very high GHG emissions (SSP5-8.5),26
C1 (Below 1.5°C),26
C7 (High GHG emissions),25
C3 (SSP2-4.5),23
High,22
C8 - High GHG emissions,22
C1 (SSP1-2.6),21
C1 (Below 1.5°C with no or limited overshoot),20
RCP,20
C1: limit warming to 1.5°C (>50%) with no or limited overshoot,20
SSP5-8.5 (RCP8.5 equivalent),19
C8: exceed warming of 4°C (>=50%),19
SSP5-8.5 (High GHG emissions),19
C2 (Below 2°C),18
C3 (Lower 2°C),18
RCP2.6,17
C3 (SSP2-4.5 equivalent),17
High GHG emissions (SSP5-8.5 equivalent),16
SSP5-8.5 (C8),15
C2 (RCP equivalent),15
C6: limit warming to 3°C (>50%),15
C8 (High emissions),14
C3 (Below 3°C warming),13
C8 - High GHG emissions (SSP5-8.5),13
Very high (SSP5-8.5),12
C3 (RCP4.5 equivalent),12
C2 (Lower 2°C),12
C4 (Likely below 2°C),11
SSP2-4.5 (RCP4.5 equivalent),11
N/A (RCP scenario),11
C5 (~2.7°C),10
C8 (High),9
C4 (Below 2°C),9
Very high GHG emissions,9
C5 (High GHG emissions),9
C4 (RCP4.5 equivalent),9
High (SSP5-8.5 equivalent),8
C6 (High GHG emissions),8
C4 (SSP2-4.5),8
C3 (Intermediate),8
RCP (Representative Concentration Pathway),8
RCP equivalent,8
C3 (~1.8°C),8
C3 (Likely below 2°C),7
SSP2-4.5 (RCP6.0 equivalent),7
C1 (Below 2°C),7
High GHG emissions (RCP8.5),7
C8a,7
C1a,7
N/A (CMIP5 RCP scenario),6
C5/2.7°C,6
C8 (RCP8.5 equivalent),6
RCP8.5 (High emissions pathway),6
C7 (RCP equivalent),6
C3-C4 (RCP equivalent),6
C3/1.8°C,6
Intermediate,6
C3-Low (SSP2-4.5 equivalent),6
RCP6.0,6
C1 (Very low GHG emissions),6
