Bucket,Priority,"Keyword patterns (lowercase, substring match)",Typical Output Variable strings
Temperature & heat,1,"temperature, warming, sat, tas, tmax, txx, dtr, growing degree, gdd, tn90p, heat wave, heatwave, heat stress, heat-related, heatstroke, climate sensitivity, thermal, ΔGMST",Mean / max temperature; warming above pre-industrial; growing degree days; heatwave duration; heat stress index
Precipitation,2,"precip, rainfall, rain, prcptot, rx, sdii, wet season, rainstorm, snow depth, snowfall",Precipitation change; rainfall extremes; rain intensity; snow depth
Water & hydrology,3,"streamflow, runoff, discharge, water yield, river/stream/mean/peak/annual flow, water availability/supply/demand/consumption/balance/level/resources/scarcity/withdraw/savings/quality, groundwater, irrigation, evapotranspiration, soil moisture, lake, hydropower, reservoir, aquifer, blue water, aridity, SPEI, PDSI, WUE, BOD, NO3, nitrate, WUA, riverine, TN flux",River discharge; runoff; irrigation demand; soil moisture; SPEI / PDSI drought indices
Food & agriculture,4,"yield, crop, food, production, wheat, maize, rice, farmland, grain, soy, livestock, cropland, agronomic, fishery, catch, dietary, iron intake, calorie, milk, linolenic, seedling, germination, cultivation, agricultural",Crop yield; agricultural production; fishery catch; dietary metrics
Ecology & vegetation,5,"habitat, suitable area/distribution, potential/distribution area/range, species range/distribution/richness/turnover/diversity, biodiversity, extinction, range loss/contraction, climatic/climate/environmental suitability, EMA, invasion, migration rate, functional diversity, phenology, genetic diversity/offset, ecosystem resilience/service, probability of occurrence, survival rate, bioclimatic, biomass, NPP, GPP, NEP, productivity, NDVI, LAI, vegetation, leaf area, greening, canopy, photosynthesis, standing volume, basal area, tree, diameter increment, BAI, growth rate, growing season, SOS, EOS, NEE, wood, timber, forest stand, stand age, growing stock, bark beetle, net forest, diazotroph, dry matter, core environment, translocation",Suitable habitat area; species range shifts; biodiversity / extinction risk; vegetation productivity (NDVI / NPP / GPP); forest growth
Emissions & carbon,6,"emission, CO2, GHG, carbon, methane, CH4, N2O, SOC, sequestration, GWP, radiative forcing, adjusted forcing",GHG emissions trajectories; carbon sequestration; soil organic carbon; CH4 / N2O fluxes; GWP
Hazards & extremes,7,"drought, flood, inundation, wildfire, fire, fire risk, cyclone, typhoon, hurricane, tropical cyclone, TC frequency, storm, storm surge, tornado, blizzard, polar lows, extreme, hazard, burned, burnt, landslide, wave height, recurrence interval",Drought / flood severity; wildfire burned area; tropical cyclone / storm frequency; landslide susceptibility
Cryosphere & sea level,8,"sea ice, ice extent, glacier, permafrost, snow, cryosphere, AMOC, AOHT, frozen, thaw, active layer, iceberg, firn, ice mass / sheet / water, surface mass balance, SMB, sea level, sea-level, SLR, saltwater intrusion, shoreline, coastline change, salinity",Sea ice extent; glacier mass balance; permafrost thaw; sea level rise; shoreline change
Human systems,9,"mortality, morbidity, disease, health, malaria, dengue, epidemic, pandemic, asthma, vector, illness, infection, premature / excess / natural / annual deaths, DALY, YLL, life expectancy, child stunting, PSP toxicity, GDP, damage, NPV, EAD, economic, cost, revenue, insurance, wealth, price, income, poverty, welfare, profit, reliability, failure probability, credit risk, AAL, ecosystem service value, willingness / WTP, annuity, project score, adaptation / mitigation cost, net suppression, energy demand, electricity, heating, cooling, energy consumption, power generation, energy use, refrigeration, capacity factor, population, migrant, displacement, demographics, vulnerability, risk index, adaptive capacity, exposure, adaptation, sustainability, resilience, adaptability, urban resilience",Heat-related mortality; disease incidence; GDP loss; insurance damage; energy demand; population at risk; vulnerability index
"Land, air & ocean",10,"soil, erosion, desertification, land use / cover / degradation, deforestation, vegetation cover, sediment, urban land / area, cultivated land, wetland, forest area, land area, bed level, total nitrogen, DOC concentration, dust loading, PM2.5, PM10, ozone, aerosol, smog, particulate, air quality, NOx, SO2, O3, coral, chlorophyll, acidification, ocean pH, oxygen, hypoxia, marine, fish, algae, reef, phytoplankton, zooplankton, seagrass, mangrove, ocean heat, albedo, radiation balance, energy balance, net radiation, Bowen ratio, relative humidity, wind speed, wind, ENSO, NAO, IOD, monsoon, jet stream, circulation, teleconnection, atmospheric, dipole, SAM index, length of day, climate change impact / potential / mitigation potential, RMSE","Soil erosion / land cover change; air quality (PM2.5, ozone); ocean acidification & marine ecosystems; albedo & wind; ENSO / monsoon teleconnections"
"Other (pooled, shown as visible bar)",11,(none of the above),Project-specific scores; vague descriptors; one-off variables that did not match any keyword pattern
