File Name,Scenario Name,AR6 Category,AR6 Carbon Budget,cb,cb_parse_mode,cb_relation,cb_exclusion_reason,AR6 cross-check flag
Yang 等 - 2022 - Future Changes in High and Low Flows under the Impacts of Climate and Land Use Changes in the Jiulon.pdf,SSP126,C1,500.0,500.0,field-only scalar,,,False
Harding 等 - 2025 - Distribution of climate damages in convergence-consistent growth projections.pdf,SSP5-8.5,SSP5-8.5,1690 Gt CO₂,1690.0,unit-bound scalar,,,False
Monerie 等 - 2024 - An uncertain future change in aridity over the tropics.pdf,SSP2-4.5,C5,2744.812344177873,2744.812344177873,field-only scalar,,,False
Chebykina和Abakumov - 2024 - Agroecological Assessment of Arable Lands in the Leningrad Region of Russia under the Influence of C.pdf,B2 humid scenario,C3: limit warming to 2°C (>67%),835.4639342141137,835.4639342141137,field-only scalar,,,False
Robert - 2009 - A Model for Climate Target-Oriented Planning and Monitoring of Corporate Travel.pdf,Stockholm Mobility Project - 15% CO2 Reduction,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,271.9704635822378,271.9704635822378,field-only scalar,,,False
Iyakaremye 等 - 2021 - Increased high-temperature extremes and associated population exposure in Africa by the mid-21st cen.pdf,SSP2-4.5,C3,~1150 GtCO₂ from 2020,1150.0,unit-bound scalar,~,,False
Bleuel 等 - 2021 - Coral distribution and bleaching vulnerability areas in Southwestern Atlantic under ocean warming.pdf,RCP8.5,SSP5-8.5,High (>2000 GtCO2 from 2020),2000.0,unit-bound scalar,>,,False
Huang 等 - 2025 - Distribution changes of Ormosia microphylla under different climatic scenarios.pdf,SSP1-2.6,C1,~500 Gt CO2,500.0,unit-bound scalar,~,,False
Huang 等 - 2025 - Distribution changes of Ormosia microphylla under different climatic scenarios.pdf,SSP2-4.5,C3,"~2100 GtCO₂ (2015-2100 cumulative, indicative)",2100.0,unit-bound scalar,~,,False
Huang 等 - 2025 - Distribution changes of Ormosia microphylla under different climatic scenarios.pdf,SSP5-8.5,C8,2200 Gt CO₂ (2019–2100) central estimate per AR6 WG1 Table 5.8,2200.0,unit-bound scalar,,,False
Prada 等 - 2016 - Carbon sequestration for different management alternatives in sweet chestnut coppice in northern Spa.pdf,Baseline scenario of sweet chestnut coppice management,C7: limit warming to 4°C (>50%),4067.198904304981,4067.198904304981,field-only scalar,,,False
Bai 等 - 2019 - Assessing the Impact of Climate Change on Flood Events Using HEC-HMS and CMIP5.pdf,RCP2.6,C3 (approximate),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Bai 等 - 2019 - Assessing the Impact of Climate Change on Flood Events Using HEC-HMS and CMIP5.pdf,RCP4.5,C3 (RCP4.5 equivalent),Medium (RCP4.5 pathway),,excluded,,no unambiguous carbon-budget value,False
Ishida 等 - 2018 - Analysis of future climate change impacts on snow distribution over mountainous watersheds in Northe.pdf,A2,C6,102.7723603383973,102.7723603383973,field-only scalar,,,True
Ishida 等 - 2018 - Analysis of future climate change impacts on snow distribution over mountainous watersheds in Northe.pdf,B1,C4,652.4725285661066,652.4725285661066,field-only scalar,,,False
Nissen 等 - 2023 - A Regime Shift on Weddell Sea Continental Shelves with Local and Remote Physical and Biogeochemical.pdf,SSP1-2.6,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
"Trinh-Dinh 等 - 2022 - Assessment of climate change impacts on one of the rarest apes on Earth, the Cao Vit Gibbon Nomas.pdf",Ensemble of SSP scenarios,C3,~500 Gt CO₂ from January 2020,500.0,unit-bound scalar,~,,False
Kapnick和Delworth - 2013 - Controls of Global Snow under a Changed Climate.pdf,Double-CO2 Climate Change Experiment,C5,1793.871566014591,1793.871566014591,field-only scalar,,,False
Mirdashtvan和Malekian - 2020 - A regional assessment of wetdry spells characteristics using RCPs scenarios in a semiarid region.pdf,RCP2.6,C1 (below 2 °C),~500 Gt CO2,500.0,unit-bound scalar,~,,False
"Halpin-McCormick 等 - 2025 - Species distribution of Cannabis sativa Past, present and future.pdf",SSP245,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Zolfagharpour 等 - 2020 - The impacts of climate variability and human activities on streamflow change at basin scale.pdf,C1,C5: limit warming to 2.5°C (>50%),1278.930607571248,1278.930607571248,field-only scalar,,,False
